case,range_H0_L5
1789,0.0
519,0.0
1189,0.0
1246,0.0
1853,0.0
494,0.0
1179,0.0
484,0.0
1689,0.0
1267,0.0
1247,0.0
1647,0.0
945,0.0
1957,5.4956171322229075e-05
1334,0.0001636394329959101
486,0.00020081171910935058
114,0.00023145891013376385
167,0.00023208894229354016
1951,0.00023592969350594295
1950,0.0002531645569621155
1911,0.00026779566699242086
1372,0.0002703706071374157
1146,0.00027361811597692576
1092,0.00030216249339998225
1248,0.00031043931148355686
1771,0.00039461526615680587
687,0.0004339774665234053
117,0.0004422100582597288
122,0.00045761652573617084
943,0.0004611443680142546
1144,0.0005017674031758679
1345,0.0005239378487493784
593,0.0005346803482347839
1253,0.0005401502452612172
475,0.000557724484104849
1735,0.0005614111516609732
262,0.0006088994920586677
604,0.0006112184770810103
1252,0.0006247783525695771
956,0.0006349939386941506
507,0.0006354692807293283
1776,0.000654950332933
323,0.0006629408141172188
2246,0.0006892031774806684
1251,0.0007079111525312154
152,0.0007538175185430873
633,0.0007787343569718441
2825,0.0008091845960207511
2891,0.0008513715712539227
1644,0.0008514253102958058
1686,0.0008633470449728176
351,0.0008649770323749806
2522,0.0008889481520991671
944,0.0008967955781983283
2062,0.0009472554204167372
2188,0.0010180121513183593
1436,0.0010259955750840932
601,0.0011005248115516508
41,0.0011109719961603925
713,0.0011400432335111343
256,0.0011539479227490324
473,0.0011943163254040101
1718,0.0012004352469796586
1986,0.0012030566554300792
3021,0.001216392316978232
2898,0.001226115524388005
614,0.0012537137085139038
670,0.0012584591543316481
1309,0.001285334293940621
1678,0.0013054307708494362
67,0.0013074922479511253
1426,0.0013170581723638275
723,0.0013269583982974398
1495,0.0013398533730591966
233,0.0013793282073142343
2406,0.0013990994678672042
442,0.001492283563618635
2523,0.001507969689146016
3015,0.0015162888284634413
1053,0.0015366941699750392
1648,0.0015631952898236268
1619,0.00157284105596589
1465,0.0015954079263920118
1118,0.0016576130996746041
169,0.0016708161964250623
1364,0.0018092781285101722
2875,0.001815898777299707
1425,0.0018293220281337952
1773,0.0019148615268752556
2897,0.001961873500653799
714,0.001963395923150757
2557,0.001986481242950422
1534,0.0019912956484614552
1880,0.0020062337099855387
1715,0.0020274645041234995
1367,0.0020556234258571893
1211,0.0020640634240678413
1120,0.0020763069022976532
1816,0.002079745040833192
1477,0.0021215353577400675
2545,0.002162783723720474
543,0.0021844910166629594
263,0.002201332367817166
2782,0.002269804498906791
174,0.0023078514478898082
2685,0.0023279046366814216
621,0.0023686015732982124
1696,0.002400853322003016
2701,0.0024144110157502396
1037,0.0024706209041568394
2110,0.00250113662195961
2170,0.002541869555725773
2472,0.002557352867723073
183,0.002569751278286403
847,0.002794106553238862
1341,0.002896627246903205
99,0.002906324019869344
550,0.0030407427175829227
2884,0.0031163844680449637
2980,0.00313431300125
1769,0.0031918760941728186
558,0.00339146858777839
776,0.003423507747193466
131,0.003493829559876427
1734,0.003640098539347214
2871,0.003646757538682044
2118,0.0036591989042651374
1829,0.003764283480297337
2148,0.00384240910114797
2214,0.003910378355527433
311,0.003935033565733881
1630,0.004095359871967408
3001,0.0041524392484403
1917,0.004209420248993956
1148,0.004276381794386941
1114,0.004390930291257478
1596,0.004450261374796871
2981,0.0044915972482125754
2991,0.004496181384437636
1752,0.004638924839001857
1078,0.004715502008131867
992,0.004769289337259841
1282,0.0048390836406062565
246,0.004859147045428891
284,0.004926729318689427
1169,0.0049862865053227345
2039,0.005179531896492007
445,0.005200413887579525
472,0.005378279633003968
1398,0.00541375665562871
1060,0.005457920349667078
2430,0.005537069362210545
681,0.0055616014297503735
960,0.005597313187354236
1547,0.005675693345314148
2248,0.00577320551454108
982,0.005815271169262837
695,0.005907444668008077
1834,0.00608979869573445
1041,0.0061766045538868
3045,0.006229413680766349
1560,0.006288466684506222
935,0.006378560342754858
828,0.006429849590402603
1852,0.006441844680859621
1333,0.006629372016390578
1879,0.006747995176838328
56,0.006829660238750979
2807,0.006888207551748571
1123,0.0069775446493332005
2520,0.006990301001907007
138,0.007199298645434338
2182,0.0072791440216883885
1239,0.007413893999419052
483,0.007623539180282801
2221,0.007707685188000135
13,0.007787985818688781
1134,0.007825852660025778
1326,0.007966357194883478
404,0.007997391708019608
2226,0.008387073508406395
1125,0.008549280956401728
234,0.008884318438517447
1579,0.008942249816500714
332,0.0090111453640028
2364,0.009011342255806354
1740,0.009184326830590228
2968,0.009261246448490246
1555,0.009324163003858299
2680,0.009434557119662013
1016,0.009478032879329579
2533,0.009541954541367859
1368,0.009559829373784745
2978,0.009733345932515958
1574,0.009746638180915479
1910,0.010032332517310172
350,0.010052313179674921
1249,0.010425131233437468
1023,0.010480027815842785
3018,0.0105205760959024
1241,0.01057437663268801
922,0.010909067099264647
2593,0.011045979482268153
1015,0.011244858208083519
1645,0.011528785024481736
2958,0.011976591284620808
1124,0.0124142437112054
354,0.012463858542968942
2065,0.012678485350049007
2895,0.01301520618297669
1798,0.013218463477020492
1628,0.013360413636683943
1552,0.013396695498712918
2955,0.013592109552776899
93,0.013738814633954877
100,0.013752118751778064
1575,0.014054429571670912
958,0.01421611667372269
1498,0.01428064465952128
954,0.01450464876466101
2910,0.0146799431009957
942,0.014853839132793034
1040,0.014879483198421917
482,0.014879575776035492
2442,0.014915220159212206
1529,0.01496483229356893
2660,0.015007726044772185
506,0.015091803852358865
1370,0.015095630171781615
1519,0.015100197210844657
1480,0.015177460817646482
1039,0.015223555163784819
2064,0.01571773286308009
1373,0.015798028879904003
729,0.015921576899542877
1283,0.01657115656529662
2984,0.016713807288563642
2594,0.016729683152410857
2916,0.017065253386978063
2007,0.017131499973179976
2136,0.01756481678724331
994,0.018043382153870913
16,0.018087438435332226
108,0.018199979164909008
321,0.01828072340130127
856,0.018436930925775363
3063,0.018520659533835415
1774,0.018561337278463763
1011,0.01871310052093389
1254,0.019319023845097982
2794,0.019750257372230573
694,0.019775498735293717
2213,0.0197843326933103
1103,0.020211777459381075
500,0.02125604894065658
1126,0.022423601401713844
2556,0.022674565114359835
1371,0.02272150992287103
1130,0.023965910706630678
452,0.02402260320714411
1492,0.024066950871977633
2259,0.02412542033589271
1281,0.02452001062124176
1484,0.024869905283559035
3008,0.024983080369385346
1847,0.026606931929377575
1355,0.02745005610500506
1656,0.027550508563166765
1981,0.027980957153595498
2577,0.027982314794792518
3047,0.02832676596178607
2009,0.028525074666017836
2002,0.028532336596784225
2386,0.028885903505190602
28,0.02926165446752005
1387,0.029629800975230602
712,0.02999355221122102
1706,0.031288163902777666
1482,0.03152613593249465
1192,0.03153800817352226
1559,0.03173821152986067
1054,0.031848372549621806
2878,0.03217901488524488
1984,0.03257245234049766
1047,0.0325939009213031
2400,0.03269750149063688
2927,0.032750929078214086
1955,0.03288543140028288
1437,0.0337492879624367
2486,0.03408293471113932
2384,0.034450597646073056
223,0.034613978909945775
1882,0.03470928741416224
1590,0.035149264553298365
1458,0.03541203329538145
1826,0.035696040746854396
1949,0.035802074051634825
2503,0.03596358381436082
2723,0.035991725737850255
2883,0.0366949965424167
2961,0.036806198944156154
1243,0.036886647641448334
1397,0.03718532806570085
1978,0.0375109639008846
1863,0.03838116144218462
2031,0.038637314305577264
333,0.038855371672109285
2474,0.03901174189881651
1491,0.0395394606968309
1004,0.03957485517585613
562,0.040186439121146944
1728,0.04140504831663894
1886,0.0419359864672364
25,0.042306170715690206
3051,0.042901217765414335
1536,0.04291583485002115
66,0.043039624538688814
2979,0.04378916935103461
2959,0.043945298006600964
900,0.04424929272664746
1901,0.04554774878705625
2951,0.04600949029485557
1657,0.046187242114928195
867,0.04693386369936958
1293,0.04743619978766134
1548,0.04755081234789926
1490,0.04768249276641834
1027,0.04791917133515955
590,0.048020260092164424
929,0.04805756910991854
2227,0.049652871696963086
2055,0.050227844404405086
2590,0.050370530016855874
2082,0.05054974995493844
1170,0.05073591328436533
1843,0.05104942450914007
2575,0.051383236426186474
228,0.05185000910232562
2781,0.05217161689194827
1744,0.052831013477903865
1089,0.0528533289107227
1435,0.05398209073507365
1165,0.05401323014743853
2244,0.05470087579893412
1096,0.055351580392920985
1746,0.05559673075049121
2237,0.05650510204081638
1150,0.0574433650638424
2245,0.058195483708103235
1807,0.0588735357541722
551,0.05895711414114413
782,0.05950532101654271
1381,0.060415591150199566
1113,0.060630901479183597
561,0.060918122201611635
794,0.061377490829190195
2241,0.0626810931427727
102,0.06505744012810855
128,0.06634151540002708
1535,0.06642344498652186
1577,0.06700044112492809
1107,0.06737161896930649
1380,0.0674251118675514
2947,0.06754934000818702
2003,0.06883621433550535
2029,0.06888929135174615
1464,0.07092666304406559
2969,0.07157746285085298
124,0.07393190482688594
1646,0.07399724905768412
1483,0.0758909801895008
1399,0.07635009831652895
1388,0.07790882938323151
1178,0.07834415857061011
429,0.07848937221396457
2766,0.07855764181787961
1279,0.07886190810837745
2489,0.0796827707883524
2933,0.08090988306843583
1729,0.08128606266994498
1509,0.08161147900053334
1140,0.0817681790912822
1564,0.08283666626819453
1827,0.08287312939133384
2608,0.08319283233940167
933,0.08471742151943096
198,0.0877761298604236
1007,0.08979491412011065
1250,0.09078551213475794
70,0.09121660642887641
915,0.09150632567630712
2582,0.0933999027846264
592,0.09377750725723366
563,0.09491807618907744
415,0.09611831357114653
1156,0.09641765372167382
304,0.09700895030719581
2272,0.09709313879324433
1074,0.09720494297051108
2176,0.098293152341836
1941,0.09972807751744717
1472,0.10050660506481202
1900,0.1023650744416873
1384,0.10409320587040416
1736,0.10469404949060424
1496,0.10483384744684321
2920,0.10529182022934958
2787,0.10597209862412482
1858,0.10715792609547892
623,0.10720298478928447
2006,0.10883506514770647
2424,0.10903628398068721
2459,0.10963050794000773
1601,0.1097303458947948
1902,0.11163705584926664
2137,0.11320627013563633
781,0.11411268584380058
1488,0.11611860804509266
2720,0.11826466794824309
2592,0.1182727817257665
3016,0.11930305537781694
1084,0.1200707371397059
2537,0.12173565083169613
1442,0.12312808008749787
1163,0.1233084299777718
581,0.12469110673894113
1149,0.12507858246691128
2866,0.12602990982926932
1730,0.12726280002980617
589,0.127632235569899
2941,0.13114612593269792
2924,0.1327286573941312
1406,0.13681588857829735
2555,0.137330937293105
764,0.14095703296864937
3056,0.14118807788507098
156,0.14324694945064687
2395,0.14546194260183554
2752,0.1466319394957294
1365,0.14745220604636267
1585,0.14879088829121245
2211,0.14960286222165875
1716,0.1496636745099923
1727,0.14969455781383167
1666,0.15008923777379835
2326,0.15056936225660023
1069,0.15254388776838645
865,0.15395982653606943
1466,0.15599489336719286
1600,0.15702297974533497
3046,0.1571663865301659
2602,0.158478226589007
2423,0.15876518097546255
2771,0.16203585309158242
2277,0.1630045917903904
1225,0.16327250730920462
1497,0.1639525387700016
921,0.16576411687293438
55,0.16704473063841785
630,0.17106023231943368
2208,0.1735066221414282
727,0.17535893818068948
1457,0.17601638728619717
2108,0.17705735166299985
3031,0.1780410816752954
868,0.17951309582412955
2703,0.180121096063519
1461,0.18014497821880238
2344,0.18038939199660875
1411,0.1814078410309432
1177,0.18192011373469275
2810,0.18333545536197837
2178,0.18348940325304253
2388,0.18529380532086615
1533,0.1870843673632802
761,0.19021947834833097
1629,0.19651678219430047
1665,0.19995923280759031
217,0.20103596839692917
1138,0.20146186497864182
1072,0.20228476631224662
2846,0.208228902207802
211,0.2102839524908957
1353,0.21086913348333292
2990,0.2122506033435443
2532,0.2149147280801108
2389,0.21772813222214438
1137,0.21952686447473935
616,0.22104492157191358
1869,0.2239835880509239
2581,0.22464872474643738
1061,0.23735811082143432
2008,0.23990196968042388
1563,0.24084835964917517
2656,0.24892111251472798
1551,0.2528234041439019
2768,0.25362675686478475
2511,0.2558687726482753
2353,0.25950919054274413
2801,0.2602192586323683
2754,0.2623371480871983
2399,0.26297398422833695
1587,0.26379704795348535
769,0.265220315994699
32,0.26867223991886524
1825,0.2707927322324516
2066,0.27883339306132116
2504,0.2790051883126431
1493,0.28337370165361286
2835,0.28574739054015574
1545,0.2900466281389148
2706,0.2928575537540184
1085,0.29432855059737195
2886,0.295501358614689
2293,0.2965554621247158
1588,0.29759952709141213
2014,0.29781217297589646
1402,0.3164968437854811
1824,0.3214763019334267
2392,0.3227566154338529
2705,0.32487524299540727
1093,0.32513267233892496
1361,0.3263026489851544
2589,0.32841065868867175
837,0.33304328341635736
2716,0.3403266777352827
1890,0.3459191136639844
324,0.3484708783552968
296,0.3505226661530142
1008,0.35365400863242014
443,0.36644244357073863
1988,0.3666194934881144
150,0.3704382995252674
2401,0.38156584946996885
1073,0.3848179198897166
1057,0.3849313830132401
1546,0.3882919218185438
1459,0.3991981739664941
2591,0.41005153360356295
2075,0.4209632740595121
2127,0.4317779974766436
2912,0.4381659538022107
2957,0.44035926472699755
2623,0.44149933257101154
2827,0.4656657620871331
1029,0.4676258992805755
1894,0.472889329041842
1378,0.4772793902081501
1160,0.48455675591072833
2278,0.489451095921091
1331,0.4911660777385159
675,0.4929765574023834
2885,0.5054215276437499
2565,0.5116785021261152
1684,0.5226277372262774
121,0.5229451431772287
2882,0.5327903952508669
1933,0.5503399868392191
1223,0.551756332039194
2609,0.5853989967961823
2877,0.5880696364567333
1835,0.5904191040514437
963,0.597909682508381
2076,0.6045569408767203
2943,0.6051820539642283
780,0.6110834295068812
1407,0.6148230513091836
2542,0.625515582583628
1346,0.652086137281292
2605,0.6565834065520271
2784,0.6597896711099203
1481,0.688072707672037
1410,0.7229336437718277
1583,0.749110115971983
2721,0.7728449515773325
3039,0.7810499359795134
1591,0.7865235423444786
2740,0.7896746514594066
1685,0.7910739191073919
7,0.7928440739987802
238,0.8151237723104419
939,0.8156206415620642
579,0.821656050955414
1280,0.8217479854777295
2940,0.8402625628076131
1401,0.8444546709618039
1273,0.8656814449917898
1111,0.8713924050632912
86,0.8860102578294132
1031,0.8983512085801184
2026,0.899389434563313
2816,0.9044666984581148
1796,0.9053013140009062
518,0.9114954221770092
2977,0.914538822303283
2982,0.9321965083231832
1035,0.9439005699905586
1485,0.9462345889287328
762,0.9526157217200768
457,0.9771276689595089
