case,condition,box_iou_H0,abs_delta_dice
100,H1,0.9767441860465116,0.0016308474387940475
1004,H1,0.9375,0.004973816154149047
1007,H1,0.9481429572529784,0.04651563004419057
1008,H1,0.96875,0.0012197227666570498
1011,H1,1.0,0.0
1015,H1,0.9545454545454546,0.0005896844394239764
1016,H1,0.979591836734694,0.002205327094477849
102,H1,1.0,0.0
1023,H1,0.9777777777777776,0.00046443492970260625
1027,H1,0.9767441860465116,0.007003207269535183
1029,H1,1.0,0.0
1031,H1,0.967741935483871,0.0035649701134343736
1035,H1,0.9487179487179488,0.1594676311674178
1037,H1,0.9565217391304348,0.0012561292151367365
1039,H1,1.0,0.0
1040,H1,0.8878048780487805,0.0067820398916573765
1041,H1,0.9527696793002915,0.0009486315160548431
1047,H1,0.9824561403508772,0.015082858851067082
1053,H1,0.9782608695652174,0.0005586494063433145
1054,H1,0.9076363636363636,0.0020950259393953674
1057,H1,0.918918918918919,0.24059292755445277
1060,H1,1.0,0.0
1061,H1,0.9655172413793104,0.006571730879369464
1069,H1,0.9836065573770492,0.002366143828510636
1072,H1,1.0,0.0
1073,H1,0.9767441860465116,0.0006276839367178599
1074,H1,1.0,0.0
1078,H1,1.0,0.0
108,H1,0.9208981001727116,0.017652840564582273
1084,H1,1.0,0.0
1085,H1,0.9772727272727272,0.14934735761971174
1089,H1,1.0,0.0
1092,H1,0.9560276679841896,0.00030216249339998225
1093,H1,0.8806306306306306,0.000650524724722823
1096,H1,0.8027681660899654,0.006309104518423814
1103,H1,0.9418702611625948,0.018035912500294904
1107,H1,0.9777777777777776,0.007655607118489116
1111,H1,1.0,0.0
1113,H1,0.9545454545454546,0.003952406835938449
1114,H1,1.0,0.0
1118,H1,0.9302325581395348,6.423679192957277e-05
1120,H1,0.9846153846153848,0.0001163567374559138
1123,H1,1.0,0.0
1124,H1,0.2784602784602785,0.0124142437112054
1125,H1,0.9655172413793104,0.006237568737568755
1126,H1,0.9527065527065528,0.007964917125530824
1130,H1,0.972972972972973,5.575910291777397e-05
1134,H1,0.9642857142857144,0.003710994990122507
1137,H1,0.9523809523809524,0.1968134327417589
1138,H1,0.9696969696969696,0.012093788273638717
114,H1,1.0,0.0
1140,H1,0.972972972972973,0.0061115480462970995
1144,H1,1.0,0.0
1146,H1,1.0,0.0
1148,H1,1.0,0.0
1149,H1,0.7899686520376176,0.121714019731744
1150,H1,0.9375,0.018158941173288645
1156,H1,0.868663594470046,0.09533280381737969
1160,H1,0.4601514605120808,0.12116561003958837
1163,H1,1.0,0.0
1165,H1,0.9510086455331412,0.001333244614183049
1169,H1,1.0,0.0
117,H1,1.0,0.0
1170,H1,1.0,0.0
1177,H1,0.975609756097561,0.0003826000793079043
1178,H1,0.967741935483871,0.07834415857061011
1179,H1,0.9555555555555556,0.0
1189,H1,1.0,0.0
1192,H1,0.9091400757166036,0.002945678399032259
121,H1,0.6602870813397129,0.0026480161987244566
1211,H1,1.0,0.0
122,H1,1.0,0.0
1223,H1,0.935483870967742,0.0005245015390707986
1225,H1,0.9310344827586208,0.07758012313532725
1239,H1,1.0,0.0
124,H1,0.9230769230769232,0.0016283589936977316
1241,H1,0.9787234042553192,0.006479627192000459
1243,H1,1.0,0.0
1246,H1,1.0,0.0
1247,H1,1.0,0.0
1248,H1,1.0,0.0
1249,H1,1.0,0.0
1250,H1,1.0,0.0
1251,H1,1.0,0.0
1252,H1,1.0,0.0
1253,H1,1.0,0.0
1254,H1,1.0,0.0
1267,H1,0.9555555555555556,0.0
1273,H1,1.0,0.0
1279,H1,1.0,0.0
128,H1,0.9818181818181818,0.009002674509204223
1280,H1,1.0,0.0
1281,H1,0.9777777777777776,0.0008607073137261168
1282,H1,0.9666666666666668,0.004683646823510412
1283,H1,1.0,0.0
1293,H1,0.9523809523809524,0.002008404974173761
13,H1,0.9074074074074074,0.0006902303610586413
1309,H1,0.9772727272727272,0.0003212173589931533
131,H1,1.0,0.0
1326,H1,1.0,0.0
1331,H1,0.9767441860465116,0.004296608965561333
1333,H1,0.96875,0.0010580154693600186
1334,H1,1.0,0.0
1341,H1,0.9565217391304348,0.0004965515514889773
1345,H1,0.9772727272727272,0.00047011275689556875
1346,H1,1.0,0.0
1353,H1,1.0,0.0
1355,H1,1.0,0.0
1361,H1,0.8583638583638583,0.006144851308057864
1364,H1,1.0,0.0
1365,H1,0.9518143961927424,9.116445265666684e-05
1367,H1,0.9722222222222222,0.0
1368,H1,1.0,0.0
1370,H1,1.0,0.0
1371,H1,1.0,0.0
1372,H1,1.0,0.0
1373,H1,1.0,0.0
1378,H1,1.0,0.0
138,H1,0.9310344827586208,0.007199298645434338
1380,H1,0.9772727272727272,0.006181171655654127
1381,H1,0.9777777777777776,0.011859841371032132
1384,H1,1.0,0.0
1387,H1,1.0,0.0
1388,H1,1.0,0.0
1397,H1,0.9458858413639734,0.022065271108542173
1398,H1,0.9772727272727272,0.001852098777579303
1399,H1,1.0,0.0
1401,H1,1.0,0.0
1402,H1,0.9490651192778852,0.0015563333313450833
1406,H1,1.0,0.0
1407,H1,0.939149560117302,0.0006663468201929534
1410,H1,0.2829537612146308,0.7229336437718277
1411,H1,1.0,0.0
1425,H1,0.9787234042553192,0.0002685951408170073
1426,H1,0.926829268292683,0.0
1435,H1,1.0,0.0
1436,H1,0.9803921568627452,9.649930461563816e-05
1437,H1,1.0,0.0
1442,H1,0.9433962264150944,0.023761219432197
1457,H1,0.9210526315789472,0.0035700800231267538
1458,H1,0.9182608695652174,0.028726541905853664
1459,H1,0.952921157118548,0.01542624414193261
1461,H1,0.987012987012987,0.0005503746476921423
1464,H1,0.9767441860465116,0.005256885388882915
1465,H1,0.876875,0.0014746063084916106
1466,H1,1.0,0.0
1472,H1,0.975609756097561,0.0014504699431030499
1477,H1,0.9534883720930232,0.0
1480,H1,0.8584169453734671,0.003183576377271624
1481,H1,0.9761904761904762,0.3195870752725116
1482,H1,1.0,0.0
1483,H1,1.0,0.0
1484,H1,0.9666666666666668,0.019631289425057763
1485,H1,1.0,0.0
1488,H1,0.8959349593495934,0.06223991468591927
1490,H1,0.8859357696566998,0.01405167209926117
1491,H1,0.9375,0.027119709759481914
1492,H1,0.9666666666666668,0.011493424823197318
1493,H1,0.9830508474576272,0.0023454065865375906
1495,H1,1.0,0.0
1496,H1,0.9666666666666668,0.011109994504871823
1497,H1,0.9827586206896552,0.0003018275035143736
1498,H1,1.0,0.0
150,H1,0.7032967032967034,0.3059174967542032
1509,H1,0.9636363636363636,0.0008823428938857791
1519,H1,0.96875,0.00023832376773558206
152,H1,0.9555555555555556,0.00039010790257720807
1529,H1,1.0,0.0
1533,H1,0.9003215434083601,0.007878053122692297
1534,H1,0.9772727272727272,0.0019912956484614552
1535,H1,0.9476584022038568,0.0045905713456904085
1536,H1,0.9487179487179488,0.0018514640736275734
1545,H1,0.5925925925925926,0.15084102884380035
1546,H1,0.9576957695769576,0.06462866707715864
1547,H1,0.9787234042553192,0.005675693345314148
1548,H1,1.0,0.0
1551,H1,0.9074074074074074,0.015078591198468216
1552,H1,0.9722222222222222,0.0017256905854449167
1555,H1,0.9836065573770492,0.000266205315886503
1559,H1,0.9772727272727272,0.010342101241006207
156,H1,0.9514637904468412,0.0001853584167101907
1560,H1,0.9411764705882352,0.0009777596170685854
1563,H1,1.0,0.0
1564,H1,0.9714285714285714,0.028690162762413207
1574,H1,1.0,0.0
1575,H1,1.0,0.0
1577,H1,1.0,0.0
1579,H1,1.0,0.0
1583,H1,1.0,0.0
1585,H1,0.953062392673154,0.002360764413844252
1587,H1,0.9215425531914894,0.0015076067986411479
1588,H1,0.7205882352941176,9.391091747046332e-05
1590,H1,0.9195402298850576,0.02070454136648081
1591,H1,0.9767441860465116,0.0007919995205191155
1596,H1,1.0,0.0
16,H1,1.0,0.0
1600,H1,1.0,0.0
1601,H1,0.9615384615384616,0.007188686590734794
1619,H1,0.9772727272727272,0.0003604591486808806
1628,H1,1.0,0.0
1629,H1,0.3871817383669886,0.19651678219430047
1630,H1,0.9772727272727272,0.0006981454780647933
1644,H1,0.9761904761904762,0.0005377688540787462
1645,H1,1.0,0.0
1646,H1,0.8731182795698925,0.0678656468444464
1647,H1,1.0,0.0
1648,H1,0.9236918604651164,0.0003953651531856117
1656,H1,1.0,0.0
1657,H1,1.0,0.0
1665,H1,0.96875,0.01588618485742377
1666,H1,1.0,0.0
167,H1,0.9827586206896552,9.029674276184174e-06
1678,H1,1.0,0.0
1684,H1,1.0,0.0
1685,H1,0.4851727982162764,0.21872368869264536
1686,H1,1.0,0.0
1689,H1,0.9550561797752808,0.0
169,H1,0.95,0.00019326295389199277
1696,H1,0.9696969696969696,0.0004178326312102021
1706,H1,1.0,0.0
1715,H1,0.9666666666666668,0.0020274645041234995
1716,H1,1.0,0.0
1718,H1,1.0,0.0
1727,H1,0.953125,0.0012328673106216659
1728,H1,0.9314151890264304,0.03470277817395673
1729,H1,0.928212162780064,0.029001993571570073
1730,H1,0.9824561403508772,7.357608000146953e-05
1734,H1,0.876358695652174,0.003041568055307975
1735,H1,0.9782608695652174,0.00011274660945137516
1736,H1,0.9743589743589745,0.005945026140670606
174,H1,0.9821428571428572,9.732587607280685e-05
1740,H1,0.9655172413793104,0.0002076225456666414
1744,H1,0.9117647058823528,0.023529599353693476
1746,H1,0.8918918918918919,0.0212751417963144
1752,H1,1.0,0.0
1769,H1,1.0,0.0
1771,H1,1.0,0.0
1773,H1,1.0,0.0
1774,H1,0.9736842105263158,0.006059474506076468
1776,H1,0.9672131147540984,1.7218803677000651e-06
1789,H1,1.0,0.0
1796,H1,0.9629629629629628,0.0005614823133071045
1798,H1,0.8552995391705069,0.004193059215525596
1807,H1,0.9555555555555556,0.013376503766925452
1816,H1,1.0,0.0
1824,H1,0.9772727272727272,8.764775529845892e-05
1825,H1,1.0,0.0
1826,H1,0.9791666666666666,0.0005920266323118373
1827,H1,0.6122685185185185,0.08073677723343664
1829,H1,0.9767441860465116,0.00011326598543415223
183,H1,0.9166666666666666,0.0013168926559458116
1834,H1,0.926829268292683,0.00018029182770418206
1835,H1,1.0,0.0
1843,H1,1.0,0.0
1847,H1,0.7840290381125227,0.026606931929377575
1852,H1,1.0,0.0
1853,H1,0.8627946127946128,0.0
1858,H1,0.9204665959703076,0.03758308799325005
1863,H1,0.9387755102040816,0.0174774642935408
1869,H1,1.0,0.0
1879,H1,1.0,0.0
1880,H1,0.9655172413793104,0.0007810632229584558
1882,H1,1.0,0.0
1886,H1,1.0,0.0
1890,H1,0.8264637497357853,0.042470862488777905
1894,H1,0.775,0.472889329041842
1900,H1,0.954004329004329,0.025666571315707043
1901,H1,1.0,0.0
1902,H1,0.9772727272727272,0.000963576569993907
1910,H1,1.0,0.0
1911,H1,1.0,0.0
1917,H1,0.9555555555555556,0.0005711038027890192
1933,H1,0.8339964633068081,0.23687026282439017
1941,H1,1.0,0.0
1949,H1,0.9682539682539684,0.013097836271680818
1950,H1,1.0,0.0
1951,H1,1.0,0.0
1955,H1,1.0,0.0
1957,H1,1.0,0.0
1978,H1,0.984375,0.0019591106103376
198,H1,0.9444444444444444,0.00034666417463236066
1981,H1,1.0,0.0
1984,H1,1.0,0.0
1986,H1,1.0,0.0
1988,H1,1.0,0.0
2002,H1,1.0,0.0
2003,H1,0.9606237816764132,0.015941459224387833
