prompt1,prompt2,text_cosine_distance,distance_quintile
P05,P16,0.0125918388366699,1
P01,P16,0.0264503955841064,1
P04,P19,0.0309132933616638,1
P11,P20,0.0419908165931701,1
P12,P20,0.0433955192565918,2
P08,P12,0.0505661964416503,2
P02,P12,0.054884910583496,2
P01,P06,0.0598601102828979,2
P01,P09,0.060164451599121,3
P06,P11,0.0661624670028686,3
P10,P11,0.0713053941726684,3
P04,P07,0.0756462812423706,3
P01,P19,0.0758573412895202,4
P08,P09,0.0816171765327453,4
P04,P17,0.0916370153427124,4
P07,P18,0.1021898984909057,4
P04,P12,0.1032623052597045,5
P04,P11,0.1116034984588623,5
P15,P17,0.1277872323989868,5
P10,P15,0.2204976081848144,5
