prompt_id,n_pairwise,heatmap_mae_mean,heatmap_corr_distance_mean,box_instability_mean,heatmap_mae_median,heatmap_corr_distance_median,box_instability_median,heatmap_mae_rank,heatmap_corr_distance_rank,box_instability_rank,mean_rank
P15,1140,0.020511879961071657,0.1227032284720294,0.4356171859772627,0.02066168561577795,0.1062859045258215,0.3086688137412775,1.0,1.0,1.0,1.0
P04,1140,0.01763188795027269,0.10138195115433377,0.42968873801780383,0.01518289558589455,0.08910866903170306,0.2740471869328493,2.0,2.0,3.0,2.3333333333333335
P10,1140,0.01477247850373056,0.09086531878503681,0.4346429121980865,0.0129119968041777,0.06876999157216795,0.2630213729611319,5.0,6.0,2.0,4.333333333333333
P17,1140,0.01561866059527613,0.09126147717562275,0.4031261379473065,0.014730733819305852,0.08157440571480405,0.2261461944922336,4.0,5.0,4.0,4.333333333333333
P18,1140,0.01426756392966281,0.09214895203008673,0.3621784102924832,0.01335172308608885,0.07635963758466724,0.18689117372829175,6.0,4.0,7.0,5.666666666666667
P19,1140,0.01595679576623069,0.09297124066681481,0.33142351733106473,0.015283883083611699,0.0862338373437566,0.22089332760902336,3.0,3.0,12.0,6.0
P06,1140,0.013786471074777854,0.08122413375949074,0.3607257539322487,0.01218345202505585,0.062156363472263346,0.19560701353154186,9.0,8.0,8.0,8.333333333333334
P11,1140,0.013408885153394404,0.08208315747559186,0.3787611350907342,0.0112218707799911,0.06161640835824955,0.17295790496649785,12.0,7.0,6.0,8.333333333333334
P02,1140,0.013410939648236803,0.07708744097871971,0.3924112089596895,0.012167276348918649,0.05354587741339435,0.1967213114754098,11.0,10.0,5.0,8.666666666666666
P03,1140,0.013888718599551554,0.07474494440825095,0.3404564381954343,0.0127637311816215,0.06319106701612609,0.18366531825827365,8.0,11.0,11.0,10.0
P07,1140,0.013963711814415641,0.0681525435982371,0.34216056524553573,0.0121435499750077,0.0559062258094916,0.19943200117113155,7.0,13.0,10.0,10.0
P12,1140,0.013763140776121056,0.07710712966128452,0.31749661805914353,0.013115919195115549,0.0670458889840213,0.1813953488372093,10.0,9.0,16.0,11.666666666666666
P05,1140,0.012551931664602898,0.06502204653743174,0.35063665345629097,0.0108131640590727,0.04722415419724135,0.1664742109314857,15.0,15.0,9.0,13.0
P09,1140,0.013088786698011796,0.07067547974799873,0.2995161748802207,0.0116759580560028,0.057368911440662196,0.1503883895188243,13.0,12.0,19.0,14.666666666666666
P16,1140,0.012401786868423664,0.06739982084910891,0.3204990533751746,0.010668985079973901,0.048135050639698904,0.16460858585858584,16.0,14.0,15.0,15.0
P14,1140,0.012827549087243073,0.06458673150168869,0.31043038342852697,0.0110606574453413,0.04465927010395335,0.2016748366013071,14.0,16.0,17.0,15.666666666666666
P20,1140,0.011600309957059771,0.055178562040021126,0.3245414326991607,0.01043572695925825,0.041097865963746205,0.1554559118391255,19.0,18.0,13.0,16.666666666666668
P08,1140,0.012071856758005772,0.05677168819220194,0.304312837594659,0.01055696466937655,0.0458637983398142,0.1424684877540769,17.0,17.0,18.0,17.333333333333332
P13,1140,0.011576103481511012,0.052791043469379226,0.32188581527543886,0.0100413202308118,0.04091659783464035,0.1669479405034324,20.0,19.0,14.0,17.666666666666668
P01,1140,0.011987972490411824,0.05271909149942523,0.2933251158240489,0.0109134502708911,0.04328710357910735,0.144790611279973,18.0,20.0,20.0,19.333333333333332
