section,metric,computed,expected,abs_diff,status
Brain400,N cases,400,400,0.0,PASS
Brain400,mean pairwise |dDice|,0.1116601771178113,0.1116601771178112,9.71445146547012e-17,PASS
Brain400,mean within-case range,0.3858606072095203,0.3858606072095203,0.0,PASS
Brain400,median within-case range,0.29086203187897,0.29086203187897,0.0,PASS
Brain400,max within-case range,0.9726255125789648,0.9726255125789648,0.0,PASS
Brain400,best fixed prompt,P14,P14,,PASS
Brain400,best fixed Dice,0.4760140243472509,0.4760140243472509,0.0,PASS
Brain400,oracle Dice,0.5641465091707494,0.5641465091707494,0.0,PASS
Brain400,oracle advantage,0.0881324848234985,0.0881324848234985,0.0,PASS
Brain400,unique patients,174,174,0.0,PASS
Brain400,pairwise CI low,0.09805970752632172,0.0980597075263217,1.3877787807814457e-17,PASS
Brain400,pairwise CI high,0.12504553127580373,0.1250455312758037,2.7755575615628914e-17,PASS
Brain400,range CI low,0.34567495490510997,0.3456749549051099,5.551115123125783e-17,PASS
Brain400,range CI high,0.42606500295821154,0.4260650029582115,5.551115123125783e-17,PASS
Brain400,best fixed CI low,0.42959959930584196,0.4295995993058419,5.551115123125783e-17,PASS
Brain400,best fixed CI high,0.521242287267306,0.521242287267306,0.0,PASS
Brain400,oracle CI low,0.5173178404038608,0.5173178404038608,0.0,PASS
Brain400,oracle CI high,0.6095825139634747,0.6095825139634747,0.0,PASS
Brain400,oracle advantage CI low,0.07164768214921538,0.0716476821492153,8.326672684688674e-17,PASS
Brain400,oracle advantage CI high,0.10534647267708994,0.1053464726770899,4.163336342344337e-17,PASS
B400 funnel,all pairs,76000,76000,0.0,PASS
B400 funnel,all images,400,400,0.0,PASS
B400 funnel,all patients,174,174,0.0,PASS
B400 funnel,general residual pairs,224,224,0.0,PASS
B400 funnel,general residual images,31,31,0.0,PASS
B400 funnel,general residual patients,27,27,0.0,PASS
B400 funnel,catastrophic pairs from 76k,5398,5398,0.0,PASS
B400 funnel,stored catastrophic pairs,5398,5398,0.0,PASS
B400 funnel,catastrophic images,132,132,0.0,PASS
B400 funnel,catastrophic patients,88,88,0.0,PASS
B400 funnel,fraction box IoU < .10,0.8373471656168952,0.8373471656168952,0.0,PASS
B400 funnel,fraction box IoU < .25,0.8842163764357169,0.8842163764357169,0.0,PASS
B400 funnel,fraction box IoU < .50,0.9425713227121156,0.9425713227121156,0.0,PASS
B400 funnel,catastrophic high-IoU pairs,25,25,0.0,PASS
B400 funnel,catastrophic high-IoU images,6,6,0.0,PASS
B400 funnel,catastrophic high-IoU patients,6,6,0.0,PASS
Residual224,N pairs,224,224,0.0,PASS
Residual224,mean selected |dDice|,0.36089608784447236,0.3609,3.912155527641126e-06,PASS
Residual224,mean oracle |dDice|,0.07322079956527994,0.0732,2.0799565279935872e-05,PASS
Residual224,different selected candidate,0.875,0.875,0.0,PASS
Residual224,any selection loss > .20,0.9241071428571429,0.9241071428571429,0.0,PASS
Residual224,selection dominant,0.9196428571428571,0.9196428571428571,0.0,PASS
CatHigh25,mean selected |dDice|,0.6797010936244567,0.679701,9.362445674288011e-08,PASS
CatHigh25,mean oracle |dDice|,0.13028224211083467,0.130282,2.4211083465841554e-07,PASS
CatHigh25,different selected candidate,0.96,0.96,0.0,PASS
CatHigh25,failure oracle candidate >= .50,0.88,0.88,0.0,PASS
CatHigh25,failure selection gap > .20,1.0,1.0,0.0,PASS
Breast97,N,97,97,0.0,PASS
Breast97,mean pairwise |dDice|,0.104712673258131,0.1047126732581309,9.71445146547012e-17,PASS
Breast97,mean range,0.3405581937139085,0.3405581937139085,0.0,PASS
Breast97,best fixed prompt,P13,P13,,PASS
Breast97,best fixed Dice,0.4996685431090214,0.4996685431090214,0.0,PASS
Breast97,oracle Dice,0.603951312529081,0.603951312529081,0.0,PASS
Breast97,oracle advantage,0.10428276942005954,0.1042827694200595,4.163336342344337e-17,PASS
Breast97,pairwise CI low,0.08090683307079181,0.0809068330707918,1.3877787807814457e-17,PASS
Breast97,pairwise CI high,0.13015299168350938,0.1301529916835094,2.7755575615628914e-17,PASS
Breast97,range CI low,0.2725314230800796,0.2725314230800796,0.0,PASS
Breast97,range CI high,0.4110409927540524,0.4110409927540524,0.0,PASS
Breast97,oracle advantage CI low,0.060423386189957656,0.0604233861899576,5.551115123125783e-17,PASS
Breast97,oracle advantage CI high,0.13528002338841963,0.1352800233884196,2.7755575615628914e-17,PASS
Brain600,N,600,600,0.0,PASS
Brain600,mean range,0.13287157388618434,0.1328715738861843,2.7755575615628914e-17,PASS
Brain600,median range,0.03675059774328643,0.0367505977432864,2.7755575615628914e-17,PASS
Brain600,max range,0.9771276689595089,0.9771276689595088,1.1102230246251565e-16,PASS
Brain600,best fixed condition,H0,H0,,PASS
Brain600,best fixed Dice,0.7538302084084627,0.7538302084084627,0.0,PASS
Brain600,oracle Dice,0.7928471271262357,0.7928471271262357,0.0,PASS
Brain600,oracle advantage,0.03901691871777302,0.039016918717773,2.0816681711721685e-17,PASS
Brain600,fraction range > 0.01,0.675,0.675,0.0,PASS
Brain600,fraction range > 0.05,0.4483333333333333,0.4483333333333333,0.0,PASS
Brain600,fraction range > 0.1,0.33166666666666667,0.3316666666666666,5.551115123125783e-17,PASS
Brain600,fraction range > 0.2,0.20333333333333334,0.2033333333333333,2.7755575615628914e-17,PASS
Brain600,fraction range > 0.3,0.13833333333333334,0.1383333333333333,2.7755575615628914e-17,PASS
Brain600,fraction range > 0.5,0.08,0.08,0.0,PASS
Brain600,H1 mean abs dDice,0.02029625489549853,0.0202962548954985,2.7755575615628914e-17,PASS
Brain600,H1 mean signed dDice,-0.0025043573933253935,-0.0025043573933253,9.367506770274758e-17,PASS
Brain600,H1 |dDice| > 0.1,0.041666666666666664,0.0416666666666666,6.245004513516506e-17,PASS
Brain600,H1 |dDice| > 0.2,0.025,0.025,0.0,PASS
Brain600,H1 |dDice| > 0.5,0.006666666666666667,0.0066666666666666,6.678685382510707e-17,PASS
Brain600,H2 mean abs dDice,0.029997069468885803,0.0299970694688858,3.469446951953614e-18,PASS
Brain600,H2 mean signed dDice,-0.00656800354063526,-0.0065680035406352,5.984795992119984e-17,PASS
Brain600,H2 |dDice| > 0.1,0.07166666666666667,0.0716666666666666,6.938893903907228e-17,PASS
Brain600,H2 |dDice| > 0.2,0.03833333333333333,0.0383333333333333,2.7755575615628914e-17,PASS
Brain600,H2 |dDice| > 0.5,0.011666666666666667,0.0116666666666666,6.765421556309548e-17,PASS
Brain600,L3 mean abs dDice,0.033595670824982396,0.0335956708249823,9.71445146547012e-17,PASS
Brain600,L3 mean signed dDice,-0.012857630766527198,-0.0128576307665271,9.71445146547012e-17,PASS
Brain600,L3 |dDice| > 0.1,0.075,0.075,0.0,PASS
Brain600,L3 |dDice| > 0.2,0.03833333333333333,0.0383333333333333,2.7755575615628914e-17,PASS
Brain600,L3 |dDice| > 0.5,0.016666666666666666,0.0166666666666666,6.591949208711867e-17,PASS
Brain600,L4 mean abs dDice,0.08011079529930272,0.0801107952993027,1.3877787807814457e-17,PASS
Brain600,L4 mean signed dDice,-0.030899458884001613,-0.0308994588840016,1.3877787807814457e-17,PASS
Brain600,L4 |dDice| > 0.1,0.19166666666666668,0.1916666666666666,8.326672684688674e-17,PASS
Brain600,L4 |dDice| > 0.2,0.11833333333333333,0.1183333333333333,2.7755575615628914e-17,PASS
Brain600,L4 |dDice| > 0.5,0.041666666666666664,0.0416666666666666,6.245004513516506e-17,PASS
Brain600,L5 mean abs dDice,0.07243626524738853,0.0724362652473885,2.7755575615628914e-17,PASS
Brain600,L5 mean signed dDice,-0.03877681466269454,-0.0387768146626945,3.469446951953614e-17,PASS
Brain600,L5 |dDice| > 0.1,0.17333333333333334,0.1733333333333333,2.7755575615628914e-17,PASS
Brain600,L5 |dDice| > 0.2,0.10166666666666667,0.1016666666666666,6.938893903907228e-17,PASS
Brain600,L5 |dDice| > 0.5,0.041666666666666664,0.0416666666666666,6.245004513516506e-17,PASS
Brain600,mean_range_H0_L5 CI low,0.11623708545331232,0.1162370854533123,2.7755575615628914e-17,PASS
Brain600,mean_range_H0_L5 CI high,0.15026810150843473,0.1502681015084347,2.7755575615628914e-17,PASS
Brain600,oracle_mean_H0_L5 CI low,0.778751760046207,0.778751760046207,0.0,PASS
