metric,point,ci_low,ci_high
H0_mean,0.7538302084084628,0.736753605674578,0.7701808789649544
H1_mean,0.7513258510151372,0.7344992356137493,0.7679737463577586
H2_mean,0.7472622048678275,0.7299206837557963,0.7641216303001626
mean_range,0.03464264647760885,0.026709180155582424,0.04338115319576039
range_gt_10,0.08333333333333333,0.06166666666666667,0.10666666666666667
range_gt_20,0.043333333333333335,0.028333333333333332,0.06
range_gt_50,0.013333333333333334,0.005,0.023333333333333334
oracle_minus_best_fixed,0.013344683037490368,0.008861958775252246,0.017293689273482772
catastrophic_switch,0.011666666666666667,0.0033333333333333335,0.021666666666666667
H0_ge_80_fraction,0.5366666666666666,0.49666666666666665,0.5766666666666667
H0ge80_range_gt_20,0.024844720496894408,0.009316770186335404,0.043076923076923075
H0ge80_range_gt_50,0.009316770186335404,0.0,0.021604938271604937
H0ge80_catastrophic,0.009316770186335404,0.0,0.021604938271604937
