filename,a,b,same_text,abs_dice,box_iou
100.png,H0,H1,False,0.0016308474387940475,0.9767441860465116
100.png,H0,H2,False,0.0010512030209957057,0.9234268385140257
100.png,H1,H2,False,0.0005796444177983417,0.9441860465116279
1004.png,H0,H1,False,0.004973816154149047,0.9375
1004.png,H0,H2,False,0.004973816154149047,0.9375
1004.png,H1,H2,False,0.0,1.0
1007.png,H0,H1,False,0.04651563004419057,0.9481429572529783
1007.png,H0,H2,False,0.04548041323329077,0.9256661991584852
1007.png,H1,H2,False,0.0010352168108997972,0.975609756097561
1008.png,H0,H1,False,0.0012197227666570498,0.96875
1008.png,H0,H2,False,0.2182120184486639,0.9375
1008.png,H1,H2,False,0.21699229568200684,0.96875
1011.png,H0,H1,False,0.0,1.0
1011.png,H0,H2,False,0.0,1.0
1011.png,H1,H2,True,0.0,1.0
1015.png,H0,H1,False,0.0005896844394239764,0.9545454545454546
1015.png,H0,H2,False,0.0,1.0
1015.png,H1,H2,False,0.0005896844394239764,0.9545454545454546
1016.png,H0,H1,False,0.002205327094477849,0.9795918367346939
1016.png,H0,H2,False,0.0,1.0
1016.png,H1,H2,False,0.002205327094477849,0.9795918367346939
102.png,H0,H1,False,0.0,1.0
102.png,H0,H2,False,0.03157450552888608,0.868421052631579
102.png,H1,H2,False,0.03157450552888608,0.868421052631579
1023.png,H0,H1,False,0.0004644349297024952,0.9777777777777777
1023.png,H0,H2,False,0.0004644349297024952,0.9777777777777777
1023.png,H1,H2,False,0.0,1.0
1027.png,H0,H1,False,0.007003207269535183,0.9767441860465116
1027.png,H0,H2,False,0.0022402803325722864,0.9761904761904762
1027.png,H1,H2,False,0.00924348760210747,0.9534883720930233
1029.png,H0,H1,False,0.0,1.0
1029.png,H0,H2,False,0.0,1.0
1029.png,H1,H2,False,0.0,1.0
1031.png,H0,H1,False,0.0035649701134343736,0.967741935483871
1031.png,H0,H2,False,0.0035649701134343736,0.967741935483871
1031.png,H1,H2,True,0.0,1.0
1035.png,H0,H1,False,0.1594676311674178,0.9487179487179487
1035.png,H0,H2,False,0.04382260110315761,0.907469342251951
1035.png,H1,H2,False,0.11564503006426019,0.9565217391304348
1037.png,H0,H1,False,0.0012561292151367365,0.9565217391304348
1037.png,H0,H2,False,0.0006466574581921458,0.9483344663494222
1037.png,H1,H2,False,0.0019027866733288823,0.9061862678450034
1039.png,H0,H1,False,0.0,1.0
1039.png,H0,H2,False,0.008379823858921331,0.9438202247191011
1039.png,H1,H2,False,0.008379823858921331,0.9438202247191011
1040.png,H0,H1,False,0.0067820398916573765,0.8878048780487805
1040.png,H0,H2,False,0.0067820398916573765,0.8878048780487805
1040.png,H1,H2,True,0.0,1.0
1041.png,H0,H1,False,0.0009486315160547321,0.9527696793002915
1041.png,H0,H2,False,0.003039423302465649,0.8636363636363636
1041.png,H1,H2,False,0.002090791786410917,0.8662190082644629
1047.png,H0,H1,False,0.015082858851067082,0.9824561403508771
1047.png,H0,H2,False,0.010881825600209116,0.9448727833461835
1047.png,H1,H2,False,0.0259646844512762,0.9286540686463556
1053.png,H0,H1,False,0.0005586494063433145,0.9782608695652174
1053.png,H0,H2,False,0.0005586494063433145,0.9782608695652174
1053.png,H1,H2,True,0.0,1.0
1054.png,H0,H1,False,0.0020950259393953674,0.9076363636363637
