condition_a,condition_b,mean_abs_delta,median_abs_delta,abs_gt_010,abs_gt_020,abs_gt_050,failure_success_switch
H0,H1,0.020296254895498533,0.00041773747956602714,0.041666666666666664,0.025,0.006666666666666667,0.006666666666666667
H0,H2,0.029997069468885803,0.0017017858738155034,0.07166666666666667,0.03833333333333333,0.011666666666666667,0.01
H0,L3,0.03359567082498239,0.0022521924725145714,0.075,0.03833333333333333,0.016666666666666666,0.016666666666666666
H0,L4,0.0801107952993027,0.009515132690111672,0.19166666666666668,0.11833333333333333,0.041666666666666664,0.035
H0,L5,0.07243626524738853,0.008815146396789875,0.17333333333333334,0.10166666666666667,0.041666666666666664,0.03333333333333333
H1,H2,0.018991968590833352,0.0,0.04666666666666667,0.018333333333333333,0.008333333333333333,0.006666666666666667
H1,L3,0.032026846273382384,0.0019228131577160301,0.07333333333333333,0.04,0.011666666666666667,0.011666666666666667
H1,L4,0.07295508092004745,0.009098809476228098,0.18333333333333332,0.115,0.03166666666666667,0.023333333333333334
H1,L5,0.0709763095136041,0.009121926432793137,0.17,0.105,0.03666666666666667,0.028333333333333332
H2,L3,0.026076584614345002,0.0009794291530075272,0.055,0.03333333333333333,0.011666666666666667,0.011666666666666667
H2,L4,0.07435096521728268,0.010102972144345579,0.18166666666666667,0.11,0.035,0.028333333333333332
H2,L5,0.07118684631744666,0.009012501924929483,0.17333333333333334,0.10166666666666667,0.03666666666666667,0.03
L3,L4,0.07373785859124889,0.01039492269472364,0.18333333333333332,0.11,0.035,0.028333333333333332
L3,L5,0.07103847897490768,0.00827989196166018,0.17333333333333334,0.10166666666666667,0.03833333333333333,0.03
L4,L5,0.08989664671061273,0.015762127118857605,0.245,0.14,0.05,0.03833333333333333
