scope,metric,ci_low,ci_high,n_boot,seed
H1,mean_abs_delta,0.014245943926158517,0.027275161993274597,10000,42
H1,mean_signed_delta,-0.00931317080222094,0.004262519063744883,10000,42
H1,failure_success_switch,0.0016666666666666668,0.013333333333333334,10000,42
H2,mean_abs_delta,0.022890158612480106,0.037995952259759644,10000,42
H2,mean_signed_delta,-0.014919551328682895,0.00138397421702814,10000,42
H2,failure_success_switch,0.0033333333333333335,0.018333333333333333,10000,42
L3,mean_abs_delta,0.025456995834754977,0.04259531207468672,10000,42
L3,mean_signed_delta,-0.022185283807125443,-0.0042534178765036915,10000,42
L3,failure_success_switch,0.006666666666666667,0.02666666666666667,10000,42
L4,mean_abs_delta,0.06681455051508013,0.09385869830237803,10000,42
L4,mean_signed_delta,-0.04571316270807521,-0.015812111994501558,10000,42
L4,failure_success_switch,0.02,0.05,10000,42
L5,mean_abs_delta,0.05992883626477147,0.08578369363527924,10000,42
L5,mean_signed_delta,-0.053142594004227245,-0.02471717767238721,10000,42
L5,failure_success_switch,0.02,0.04833333333333333,10000,42
H0_L5,mean_range_H0_L5,0.11623708545331232,0.15026810150843473,10000,42
H0_L5,oracle_mean_H0_L5,0.778751760046207,0.806525446466093,10000,42
H0_L5,best_fixed_mean_H0_L5,0.7376269145256413,0.7704813506890118,10000,42
H0_L5,oracle_advantage_H0_L5,0.03022508286043249,0.0473721937030366,10000,42
