metric,estimate,ci_low,ci_high
n_cases,400.0,,
n_patients,174.0,,
mean_pairwise_abs_dice,0.11166017711781129,0.09805970752632172,0.12504553127580373
median_case_pairwise_abs_dice,0.07534287634102087,,
mean_within_case_range,0.3858606072095203,0.34567495490510997,0.42606500295821154
median_within_case_range,0.29086203187897,,
max_within_case_range,0.9726255125789648,,
fraction_range_gt_0.01,0.775,0.7229219143576826,0.8223237514887318
fraction_range_gt_0.05,0.71,0.6572890025575447,0.7615384615384615
fraction_range_gt_0.10,0.65,0.5958549222797928,0.7022346712632356
fraction_range_gt_0.20,0.5725,0.5195815161106817,0.6244131455399061
fraction_range_gt_0.30,0.4875,0.43163397770565826,0.5424108577396254
fraction_range_gt_0.50,0.405,0.351010101010101,0.4604324912163293
P01_mean_dice,0.4431535762369081,,
P02_mean_dice,0.4265229164379467,,
P03_mean_dice,0.45125681281747376,,
P04_mean_dice,0.31408391791062473,,
P05_mean_dice,0.4243073461571975,,
P06_mean_dice,0.4563447861030066,,
P07_mean_dice,0.4078369158936717,,
P08_mean_dice,0.43660182381764956,,
P09_mean_dice,0.4513972766593403,,
P10_mean_dice,0.4542997138773987,,
P11_mean_dice,0.4380634006173773,,
P12_mean_dice,0.4295173768203992,,
P13_mean_dice,0.4446840711175439,,
P14_mean_dice,0.4760140243472509,,
P15_mean_dice,0.292419401189515,,
P16_mean_dice,0.4280150740910342,,
P17_mean_dice,0.354206922218396,,
P18_mean_dice,0.4533420101987618,,
P19_mean_dice,0.331817595910385,,
P20_mean_dice,0.45351344056764575,,
best_fixed_prompt_index,14.0,,
best_fixed_dice,0.4760140243472509,0.42959959930584196,0.521242287267306
prompt_oracle_dice,0.5641465091707494,0.5173178404038608,0.6095825139634747
oracle_minus_best_fixed,0.0881324848234985,0.07164768214921538,0.10534647267708994
