metric,point,ci_low,ci_high
N,97.0,,
mean_pairwise_abs,0.10471267325813098,0.0809068330707918,0.1301529916835094
median_pairwise_abs,0.051957651396021244,,
mean_range,0.3405581937139085,0.2725314230800796,0.4110409927540524
median_range,0.18205773396025293,,
max_range,0.9599373776908025,,
best_fixed_mean,0.4996685431090214,,
oracle_mean,0.603951312529081,,
oracle_over_best_fixed,0.10428276942005954,0.060423386189957656,0.13528002338841963
range_gt_0.01,0.8350515463917526,0.7628865979381443,0.9072164948453608
range_gt_0.05,0.711340206185567,0.6185567010309279,0.8041237113402062
range_gt_0.10,0.5876288659793815,0.4948453608247423,0.6804123711340206
range_gt_0.20,0.4639175257731959,0.36082474226804123,0.5670103092783505
range_gt_0.30,0.41237113402061853,0.31958762886597936,0.5154639175257731
range_gt_0.50,0.35051546391752575,0.25773195876288657,0.4536082474226804
