metric,point,ci_low,ci_high
P0_mean,0.9143601532149855,0.9047290490557337,0.922471387313886
P1_mean,0.914254800843331,0.904688914847046,0.9223397717274862
P2_mean,0.91443153637837,0.904833410414229,0.9225449041595168
P3_mean,0.9143140239114884,0.9046885124968906,0.9224259635882562
range_mean,0.0003896201770475967,0.0002962229363887,0.0004944731513251946
range_median,0.00025789066790449233,0.00021260637683306882,0.00046660197856063235
pairwise_abs_mean,0.00020991816630120582,0.0001614850605388946,0.0002639896747218506
oracle_mean,0.9145245461792899,0.9049593681214892,0.9226095191665692
oracle_over_best_fixed,9.300980091986322e-05,4.6360052763672056e-05,0.0001554801993651933
range_gt_001,0.0,0.0,0.0
range_gt_005,0.0,0.0,0.0
