case,gt_voxels,dice_P0,voxels_P0,dice_P1,voxels_P1,dice_P2,voxels_P2,dice_P3,voxels_P3,range_dice,mean_abs_vs_P0,oracle_dice,oracle_gain_over_P0,best_prompt
CT_AMOS_amos_0018.npz,413327,0.9203372661829009,418894,0.9201437206340051,418843,0.9203970416504477,419029,0.9202301248191637,418917,0.0002533210164425981,0.00012015412672661263,0.9203970416504477,5.977546754676322e-05,P2
CT_AMOS_amos_0021.npz,317930,0.928930918610676,342132,0.9287840123168684,341978,0.9292378398616377,341787,0.9289090190005288,341999,0.000453827544769303,0.0001585757183055018,0.9292378398616377,0.0003069212509616559,P2
CT_AMOS_amos_0033.npz,412192,0.9416162129394631,382926,0.9416991300892545,383062,0.9415978529621124,382950,0.9415945942207058,382957,0.00010453586854874963,4.096528196647261e-05,0.9416991300892545,8.291714979147269e-05,P1
CT_AMOS_amos_0043.npz,411109,0.9355454801699304,380038,0.9357552349271508,380115,0.9355992527824752,380093,0.9357174448726859,380241,0.00020975475722040393,0.00014516402417356447,0.9357552349271508,0.00020975475722040393,P1
CT_AMOS_amos_0044.npz,918935,0.9153590740714079,956458,0.9144876505980729,956338,0.9157043904541062,956133,0.9152809399848214,956074,0.001216739856033322,0.0004316246475399484,0.9157043904541062,0.0003453163826983019,P2
CT_AMOS_amos_0048.npz,786876,0.928891741812153,774096,0.9287219463314716,773927,0.928797761250912,774353,0.9288342528445476,773917,0.00016979548068130068,0.00010708833650922382,0.928891741812153,0.0,P0
CT_AMOS_amos_0072.npz,606379,0.9168162482883033,615362,0.9163368718759514,615593,0.916728456172506,616860,0.9165900876315107,615670,0.0004793764123519617,0.00026444306164730147,0.9168162482883033,0.0,P0
CT_AMOS_amos_0079.npz,997308,0.8755273625059954,924994,0.8759716902095308,922028,0.8759962602682638,924755,0.8754669236631143,926454,0.000529336605149533,0.0003245547695616506,0.8759962602682638,0.0004688977622684387,P2
CT_AMOS_amos_0088.npz,262090,0.9145118258058703,281763,0.9147692053010585,281575,0.9145042910526635,281949,0.9144158970012007,281761,0.0003533082998578019,0.00012028101768820261,0.9147692053010585,0.0002573794951882258,P1
CT_AMOS_amos_0124.npz,422892,0.8820841720771856,348599,0.8822567171138267,349203,0.882430267481211,349237,0.8824584835534114,349031,0.0003743114762257971,0.000297650638964105,0.8824584835534114,0.0003743114762257971,P3
CT_AMOS_amos_0127.npz,273031,0.9221855730315204,261163,0.921572375127421,260633,0.9220669366489755,261325,0.9221947443402532,261136,0.0006223692128322078,0.00024700186512568073,0.9221947443402532,9.171308732791594e-06,P3
CT_AMOS_amos_0129.npz,383369,0.9273560681231019,379544,0.9271640248692216,379180,0.9272369985540475,379450,0.9272929666142645,379322,0.00019204325388033627,0.00012473811059069787,0.9273560681231019,0.0,P0
